id,capacity,address3,postalCode,stateName,latitude,longitude
667982c6-22a7-4d50-a27b-b413f684e9e6,167.2,Yong Peng,83700,Johor,2.0356195,103.0545528
670330f6-919c-45dd-a375-3099f35e0c63,14.58,JOHOR,79100,Johor,1.455873413,103.6375131
67ff34b4-a99a-4dd9-9e49-840c30c40cbf,44.88,,81400,Johor,1.624946,103.6377439
68edd351-ed19-45b3-b663-a54c582f913a,18.15,JOHOR BAHRU,81100,Johor,1.512365,103.782495
69ae631e-876c-486a-8513-00eba3a128f6,10,Batu Pahat,83000,Johor,1.8047191,102.9657686
69b6fcec-8e6b-4ec6-965e-3dd2fb43eee3,7.38,MUAR,84000,Johor,2.076757,102.589083
6a840d67-5e02-43fd-84a3-60011a239e28,561.59,KULAI,81000,Johor,1.671703671,103.5499383
6b00fb53-2d1e-4cfb-bff0-55f19840eadd,6.765,JOHOR BAHRU,81100,Johor,1.529014063,103.794448
6c2d9e5e-6df7-45b2-8d50-eb8ed36837ad,8.16,,80200,Johor,1.468071191,103.7303934
6c9df5e9-49c4-4e2b-9b99-7d13b5e867d0,13.2,JOHOR BAHRU,81100,Johor,1.526516842,103.7954941
6cfc3d08-724b-488f-a484-547ab4d78752,5.67,ULU TIRAM,81800,Johor,1.5740516,103.7957774
6e0e291d-4cb8-4b4d-924b-8d97e7d148fb,7.38,JOHOR BAHRU,81200,Johor,1.53721296,103.7370306
6e7d2dcf-e0ea-42e4-9f39-e99f8769c662,8.61,KLUANG,86000,Johor,2.010461297,103.3275257
704113fe-7f74-434b-b340-130d564c5743,6.765,KLUANG,86000,Johor,2.052726614,103.3194276
70e3cca2-3775-4011-85a8-f3bce2c633e5,3.15,Senai,,Johor,1.6110927,103.6423726
735694ca-94e8-4f4b-8552-38a97a72c20b,291.28,JOHOR BAHRU,80350,Johor,1.507801,103.7261135
74bb4e13-caba-42f9-9f04-ac147e54d419,11.44,JOHOR BAHRU,80250,Johor,1.4965794,103.7630358
76326a04-a756-449e-8803-fca634034f5f,274.68,,83700,Johor,2.0990492,103.0443743
766414e4-87e8-43bd-9b71-04779c9d7f55,7.38,KULAI,81000,Johor,1.668118743,103.6462467
76cf51e8-65a3-4214-b712-7be026ef9270,16.2,JOHOR BAHRU,81200,Johor,1.481300934,103.6703653
76df68fb-c57c-4c7e-ba86-ede892c819d1,435.24,Johor Bahru,81800,Johor,1.5500792,103.8238224
76eabf24-8ec2-4c1f-918c-6665acd46e56,3.15,Senai,,Johor,1.6104922,103.638747
7850543e-d88a-4ea6-b4aa-1afcfa401e11,17.22,JOHOR BAHRU,79150,Johor,1.48206802,103.6724218
791e9efb-ab70-4541-81bb-b8f8400b554d,167.2,,83700,Johor,1.993958,103.05202
7959b9be-a9f3-46c3-9e4b-c53e3869eea2,6.765,JOHOR BAHRU,81100,Johor,1.5152363,103.7931576
7ae59dc7-80f0-43c6-8adb-a62469a5b36b,6.765,JOHOR BAHRU,80400,Johor,1.480506351,103.7772696
7b0fbca8-2fca-4d93-9a20-1e16eb7ba9ab,200.355,,83600,Johor,1.8689976,102.8034986
7b5a7582-38f8-46fb-af97-b07d163d1bd2,9.435,JOHOR BAHRU,81200,Johor,1.47534977,103.6611675
7bc9ebcf-a52c-4b7a-ba1b-b94bc0c5078d,167.2,,86100,Johor,1.9475974,102.9823115
7df8c621-4038-47f4-8372-3713a5aaa984,137.34,YONG PENG,83700,Johor,2.062804,103.1220209
7e8467b2-b10c-4e75-825e-9a500a8c5bfe,179.76,,83700,Johor,2.1587607,103.0398554
7ecd6335-bc7e-4c45-b992-7369d57ac6ad,6.765,JOHOR BAHRU,81100,Johor,1.557842563,103.750513
81acbc49-32cc-405f-95da-979398792633,523.25,SENAI,81400,Johor,1.6276687,103.6488637
81faa26d-dfe3-4216-8a20-b4b917444b2a,3.15,Senai,,Johor,1.6110927,103.6423726
866a052d-475f-4b28-b007-72904a6a4050,11.07,JOHOR BAHRU,81100,Johor,1.5581395,103.7794718
869f9564-e8d8-4f49-97e9-b5c185178ae8,558.54,KAWASAN PERINDUSTRIAN SENAI 4,81400,Johor,1.6244302,103.6534132
